feature,importance
FastingBS_1,0.07156862745098033
ChestPainType_ATA,0.07058823529411759
ST_Slope_Up,0.07058823529411758
Sex_M,0.0578431372549019
ExerciseAngina_Y,0.04803921568627445
ChestPainType_NAP,0.04117647058823522
Oldpeak,0.03235294117647053
ST_Slope_Flat,0.02843137254901954
Cholesterol,0.01764705882352935
MaxHR,0.016666666666666607
