Model,Accuracy,Precision,Recall,F1,ROC AUC,PR AUC
Logistic Regression,0.8967391304347826,0.8952380952380953,0.9215686274509803,0.9082125603864735,0.9325681492109038,0.9424507728438196
SVM (RBF),0.875,0.883495145631068,0.8921568627450981,0.8878048780487805,0.9398613103778096,0.9428528291664396
KNN,0.8695652173913043,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9296987087517934,0.9194624726244156
Random Forest,0.8586956521739131,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.926829268292683,0.9288484142601169
Stacking,0.8641304347826086,0.8811881188118812,0.8725490196078431,0.8768472906403941,0.939143950263032,
Stacking,0.8641304347826086,0.8811881188118812,0.8725490196078431,0.8768472906403941,0.939143950263032,
Naive Bayes,0.875,0.9072164948453608,0.8627450980392157,0.8844221105527639,0.9429698708751795,0.9495757080558166
SVM (Linear),0.8532608695652174,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.9275466284074605,0.9399278604571761
Decision Tree,0.7391304347826086,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7360114777618364,0.715209869113886
